# Title: Global Land and Ocean April Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1850,-0.35
1851,-0.34
1852,-0.32
1853,-0.27
1854,-0.12
1855,-0.07
1856,-0.20
1857,-0.28
1858,-0.18
1859,-0.04
1860,-0.20
1861,-0.32
1862,-0.42
1863,-0.16
1864,-0.20
1865,-0.27
1866,-0.19
1867,-0.41
1868,-0.21
1869,-0.18
1870,-0.21
1871,-0.01
1872,-0.31
1873,-0.43
1874,-0.30
1875,-0.19
1876,-0.30
1877,-0.03
1878,0.15
1879,-0.15
1880,-0.10
1881,0.03
1882,-0.20
1883,-0.20
1884,-0.39
1885,-0.42
1886,-0.25
1887,-0.33
1888,-0.26
1889,0.07
1890,-0.39
1891,-0.22
1892,-0.26
1893,-0.33
1894,-0.42
1895,-0.21
1896,-0.29
1897,0.05
1898,-0.32
1899,-0.22
1900,-0.13
1901,0.05
1902,-0.27
1903,-0.41
1904,-0.52
1905,-0.30
1906,-0.01
1907,-0.39
1908,-0.49
1909,-0.53
1910,-0.37
1911,-0.38
1912,-0.22
1913,-0.39
1914,-0.23
1915,0.10
1916,-0.20
1917,-0.52
1918,-0.44
1919,-0.03
1920,-0.27
1921,-0.29
1922,-0.15
1923,-0.32
1924,-0.19
1925,-0.17
1926,0.02
1927,-0.29
1928,-0.21
1929,-0.39
1930,-0.13
1931,-0.14
1932,-0.02
1933,-0.20
1934,-0.26
1935,-0.36
1936,-0.14
1937,-0.16
1938,0.06
1939,-0.11
1940,0.23
1941,0.25
1942,0.14
1943,0.11
1944,0.20
1945,0.29
1946,0.02
1947,0.09
1948,-0.05
1949,-0.05
1950,-0.17
1951,-0.15
1952,0.09
1953,0.25
1954,-0.15
1955,-0.20
1956,-0.24
1957,0.05
1958,0.07
1959,0.15
1960,-0.10
1961,0.15
1962,0.05
1963,-0.03
1964,-0.26
1965,-0.17
1966,-0.11
1967,-0.01
1968,-0.05
1969,0.19
1970,0.10
1971,-0.06
1972,0.06
1973,0.33
1974,-0.07
1975,0.09
1976,-0.01
1977,0.26
1978,0.15
1979,0.10
1980,0.35
1981,0.34
1982,0.16
1983,0.28
1984,0.12
1985,0.15
1986,0.26
1987,0.27
1988,0.45
1989,0.31
1990,0.61
1991,0.52
1992,0.30
1993,0.32
1994,0.40
1995,0.50
1996,0.34
1997,0.39
1998,0.72
1999,0.36
2000,0.59
2001,0.53
2002,0.56
2003,0.57
2004,0.62
2005,0.69
2006,0.55
2007,0.78
2008,0.52
2009,0.58
2010,0.88
2011,0.67
2012,0.72
2013,0.60
2014,0.79
2015,0.82
2016,1.14
2017,0.95
2018,0.91
2019,1.05
2020,1.14
2021,0.80
2022,0.89
2023,0.99
2024,1.29
2025,1.22
